"","word","values"
"1","Abbau","-0.058"
"2","Abbaus","-0.058"
"3","Abbaues","-0.058"
"4","Abbauen","-0.058"
"5","Abbaue","-0.058"
"6","Abbruch","-0.0048"
"7","Abbruches","-0.0048"
"8","Abbrüche","-0.0048"
"9","Abbruchs","-0.0048"
"10","Abbrüchen","-0.0048"
"11","Abdankung","-0.0048"
"12","Abdankungen","-0.0048"
"13","Abdämpfung","-0.0048"
"14","Abdämpfungen","-0.0048"
"15","Abfall","-0.0048"
"16","Abfalles","-0.0048"
"17","Abfälle","-0.0048"
"18","Abfalls","-0.0048"
"19","Abfällen","-0.0048"
"20","Abfuhr","-0.3367"
"21","Abfuhren","-0.3367"
"22","Abgrund","-0.3465"
"23","Abhängigkeit","-0.3653"
"24","Abhängigkeiten","-0.3653"
"25","Ablehnung","-0.5118"
"26","Ablehnungen","-0.5118"
"27","Ablenkung","-0.0435"
"28","Ablenkungen","-0.0435"
"29","Abnahme","-0.0048"
"30","Abnahmen","-0.0048"
"31","Abneigung","-0.0048"
"32","Abneigungen","-0.0048"
"33","Abnutzung","-0.0048"
"34","Abriss","-0.0048"
"35","Abrisse","-0.0048"
"36","Abrissen","-0.0048"
"37","Abrisses","-0.0048"
"38","Abrisss","-0.0048"
"39","Abrutsch","-0.0048"
"40","Abrutschen","-0.0048"
"41","Abrutsche","-0.0048"
"42","Abrutsches","-0.0048"
"43","Abrutschs","-0.0048"
"44","Abschaffung","-0.058"
"45","Abschaffungen","-0.058"
"46","Abschreckung","-0.0048"
"47","Abschreckungen","-0.0048"
"48","Abschreibung","-0.3345"
"49","Abschreibungen","-0.3345"
"50","Abschuß","-0.0048"
"51","Abschwächung","-0.1935"
"52","Abschwächungen","-0.1935"
"53","Absenkung","-0.3434"
"54","Absenkungen","-0.3434"
"55","Abspaltung","-0.0048"
"56","Abspaltungen","-0.0048"
"57","Absperrung","-0.0048"
"58","Absperrungen","-0.0048"
"59","Abstieg","-0.3215"
"60","Abstiegs","-0.3215"
"61","Abstiege","-0.3215"
"62","Abstiegen","-0.3215"
"63","Abstieges","-0.3215"
"64","Abstoß","-0.0048"
"65","Abstößen","-0.0048"
"66","Abstöße","-0.0048"
"67","Abstoßs","-0.0048"
"68","Abstoßes","-0.0048"
"69","Abstrich","-0.3201"
"70","Abstrichen","-0.3201"
"71","Abstrichs","-0.3201"
"72","Abstriches","-0.3201"
"73","Abstriche","-0.3201"
"74","Abstumpfung","-0.0048"
"75","Absturz","-0.4739"
"76","Abstürzen","-0.4739"
"77","Absturzs","-0.4739"
"78","Absturzes","-0.4739"
"79","Abstürze","-0.4739"
"80","Absurdität","-0.0048"
"81","Absurditäten","-0.0048"
"82","Abweichung","-0.3462"
"83","Abweichungen","-0.3462"
"84","Abweisung","-0.0048"
"85","Abweisungen","-0.0048"
"86","Abwertung","-0.3283"
"87","Abwertungen","-0.3283"
"88","Abwärtstrend","-0.1941"
"89","Abzocke","-0.0048"
"90","Achtlosigkeit","-0.0048"
"91","Affäre","-0.1794"
"92","Affären","-0.1794"
"93","Aggression","-0.4889"
"94","Aggressionen","-0.4889"
"95","Aggressivität","-0.1958"
"96","Aggressivitäten","-0.1958"
"97","Aggressor","-0.3155"
"98","Aggressoren","-0.3155"
"99","Aggressors","-0.3155"
"100","Agitation","-0.0048"
"101","Agitationen","-0.0048"
"102","Alarm","-0.0048"
"103","Alarme","-0.0048"
"104","Alarms","-0.0048"
"105","Alarmen","-0.0048"
"106","Alarmes","-0.0048"
"107","Alptraum","-0.0048"
"108","Alpträume","-0.0048"
"109","Alpträumen","-0.0048"
"110","Alptraums","-0.0048"
"111","Alptraumes","-0.0048"
"112","Amateur","-0.0048"
"113","Amateuren","-0.0048"
"114","Amateure","-0.0048"
"115","Amateurs","-0.0048"
"116","Ambivalenz","-0.3266"
"117","Ambivalenzen","-0.3266"
"118","Androhung","-0.0048"
"119","Androhungen","-0.0048"
"120","Anfälligkeit","-0.0048"
"121","Angreifer","-0.0048"
"122","Angreifers","-0.0048"
"123","Angreifern","-0.0048"
"124","Angriff","-0.212"
"125","Angriffe","-0.212"
"126","Angriffen","-0.212"
"127","Angriffs","-0.212"
"128","Angriffes","-0.212"
"129","Angst","-0.514"
"130","Angste","-0.514"
"131","Angsten","-0.514"
"132","Anklage","-0.3468"
"133","Anklagen","-0.3468"
"134","Anmaßung","-0.0048"
"135","Anmaßungen","-0.0048"
"136","Annullierung","-0.0048"
"137","Annullierungen","-0.0048"
"138","Anomalie","-0.0048"
"139","Anomalien","-0.0048"
"140","Anspannung","-0.0048"
"141","Anspannungen","-0.0048"
"142","Anstrengung","-0.0048"
"143","Anstrengungen","-0.0048"
"144","Antipathie","-0.0048"
"145","Antipathien","-0.0048"
"146","Arbeitslose","-0.3549"
"147","Arbeitslosen","-0.3549"
"148","Arbeitslosigkeit","-0.3654"
"149","Armut","-0.2038"
"150","Arroganz","-0.3289"
"151","Arschloch","-0.1901"
"152","Arschlöcher","-0.1901"
"153","Arschlochs","-0.1901"
"154","Arschlöchern","-0.1901"
"155","Arschloches","-0.1901"
"156","Attacke","-0.47"
"157","Attacken","-0.47"
"158","Aufhebung","-0.0048"
"159","Aufhebungen","-0.0048"
"160","Auflösung","-0.0048"
"161","Auflösungen","-0.0048"
"162","Aufregung","-0.0386"
"163","Aufregungen","-0.0386"
"164","Aufruhr","-0.0048"
"165","Aufruhre","-0.0048"
"166","Aufruhrs","-0.0048"
"167","Aufruhren","-0.0048"
"168","Aufruhres","-0.0048"
"169","Aufschrei","-0.0048"
"170","Aufschreien","-0.0048"
"171","Aufschreis","-0.0048"
"172","Aufschreie","-0.0048"
"173","Aufschreies","-0.0048"
"174","Aufstand","-0.0048"
"175","Aufstandes","-0.0048"
"176","Aufstände","-0.0048"
"177","Aufstands","-0.0048"
"178","Aufstanden","-0.0048"
"179","Aufständen","-0.0048"
"180","Aufstande","-0.0048"
"181","Ausbeute","-0.1894"
"182","Ausbeuten","-0.1894"
"183","Ausbeuter","-0.0048"
"184","Ausbeuters","-0.0048"
"185","Ausbeutern","-0.0048"
"186","Ausbeutung","-0.0048"
"187","Ausbeutungen","-0.0048"
"188","Ausbruch","-0.0048"
"189","Ausbruchs","-0.0048"
"190","Ausbruches","-0.0048"
"191","Ausbrüche","-0.0048"
"192","Ausbrüchen","-0.0048"
"193","Auseinandersetzung","-0.0603"
"194","Auseinandersetzungen","-0.0603"
"195","Ausfall","-0.2164"
"196","Ausfällen","-0.2164"
"197","Ausfälle","-0.2164"
"198","Ausfalles","-0.2164"
"199","Ausfalls","-0.2164"
"200","Ausgrenzung","-0.626"
"201","Auslöschung","-0.0048"
"202","Auslöschungen","-0.0048"
"203","Ausrottung","-0.0048"
"204","Ausrottungen","-0.0048"
"205","Ausschließung","-0.0048"
"206","Ausschließungen","-0.0048"
"207","Aussetzung","-0.0048"
"208","Aussetzungen","-0.0048"
"209","Banalität","-0.0048"
"210","Banalitäten","-0.0048"
"211","Bankrott","-0.0048"
"212","Bankrotte","-0.0048"
"213","Bankrotts","-0.0048"
"214","Bankrottes","-0.0048"
"215","Bankrotten","-0.0048"
"216","Barriere","-0.0048"
"217","Barrieren","-0.0048"
"218","Bedeutungslosigkeit","-0.0048"
"219","Bedrohung","-0.0048"
"220","Bedrohungen","-0.0048"
"221","Bedrängung","-0.0048"
"222","Bedrängungen","-0.0048"
"223","Bedrückung","-0.0435"
"224","Bedrückungen","-0.0435"
"225","Bedürftige","-0.0048"
"226","Beeinträchtigung","-0.3472"
"227","Beeinträchtigungen","-0.3472"
"228","Befall","-0.0048"
"229","Befalls","-0.0048"
"230","Befälle","-0.0048"
"231","Befällen","-0.0048"
"232","Befalles","-0.0048"
"233","Befangenheit","-0.0048"
"234","Befangenheiten","-0.0048"
"235","Befürchtung","-0.4903"
"236","Befürchtungen","-0.4903"
"237","Begrenzung","-0.0048"
"238","Begrenzungen","-0.0048"
"239","Behinderung","-0.3578"
"240","Behinderungen","-0.3578"
"241","Belastung","-0.3711"
"242","Belastungen","-0.3711"
"243","Beleidigung","-0.3432"
"244","Beleidigungen","-0.3432"
"245","Belästigung","-0.0048"
"246","Belästigungen","-0.0048"
"247","Beschneidung","-0.3313"
"248","Beschneidungen","-0.3313"
"249","Beschränkung","-0.3518"
"250","Beschränkungen","-0.3518"
"251","Beschuldigung","-0.3209"
"252","Beschuldigungen","-0.3209"
